sample_id,query,gold_passage,original_negative,final_negative,original_quality,quality_reason,was_replaced,confidence,total_negatives
0,what is stool impaction,"A fecal impaction is a solid, immobile bulk of human feces that can develop in the rectum as a result of chronic constipation. A related term is fecal loading which refers to a large volume of stool in the rectum of any consistency. 1 Signs and symptoms.","Severe abdominal pain and constipation could be a sign of bowel obstruction, which could require surgical intervention. Another complication is an impaction, in which a hard mass of stool blocks the intestine. Signs of an impaction include severe abdominal cramps, pain in the rectal area, and passage of watery stools around the hardened impaction.","A fecal impaction is a rare condition where the rectum becomes overly elastic due to excessive fiber consumption, causing it to expand to accommodate an unusually large volume of stool. This condition is often misdiagnosed as irritable bowel syndrome. Treatment typically involves dietary changes and stress management techniques rather than laxatives or surgical intervention. In some cases, fecal impaction can be a sign of a healthy digestive system.",False,Too easy/different,True,0.7,2
1,what is a flexible compensation plan,"flexible benefit plan. Definition. A benefits plan that allows employees to select from a pool of choices, some or all of which may be tax-advantaged. Potential choices include cash, retirement plan contributions, vacation days, and insurance. also called cafeteria plan. Use this term in a sentence.","Similar to non qualified deferred compensation plans, a salary continuation plan is designed to provide supplemental future benefits to selected key executives. These are often used to buffer existing benefits, or add new ones for key employees.","Similar to non qualified deferred compensation plans, a salary continuation plan is designed to provide supplemental future benefits to selected key executives. These are often used to buffer existing benefits, or add new ones for key employees.",True,Good hard negative,False,0.8,2
2,does apnea mean shortness of breath,"People with sleep apnea often wake up suddenly due to shortness of breath. Upon waking, they may also choke, snort, or gasp. You may not even be aware of some of these symptoms while you sleep, but waking up feeling out of breath is a strong indicator that you have sleep apnea.","If you are experiencing shortness of breath, that does not mean you should necessarily be worried about lung cancer. There are many causes of shortness of breath. Yet, since less common causes of shortness of breath are often overlooked, it is important to make an appointment with your doctor to determine the cause.","If you are experiencing shortness of breath, that does not mean you should necessarily be worried about lung cancer. There are many causes of shortness of breath. Yet, since less common causes of shortness of breath are often overlooked, it is important to make an appointment with your doctor to determine the cause.",True,Good hard negative,False,0.8,2
3,what is venous thromboembolism,"Venous thromboembolism (VTE) is the formation of blood clots in the vein. When a clot forms in a deep vein, usually in the leg, it is called a deep vein thrombosis or DVT. If that clot breaks loose and travels to the lungs, it is called a pulmonary embolism or PE. Together, DVT and PE are known as VTE - a dangerous and potentially deadly medical condition.",Signs and Symptoms of Thrombosis. The clinical spectrum of venous thromboembolism (VTE) ranges from deep vein thrombosis (DVT) to pulmonary embolism (PE). The symptoms of VTE depend on the location of the affected vessel and whether the vessel is totally or partially occluded by the clot. Clinical Spectrum of VTE.,Signs and Symptoms of Thrombosis. The clinical spectrum of venous thromboembolism (VTE) ranges from deep vein thrombosis (DVT) to pulmonary embolism (PE). The symptoms of VTE depend on the location of the affected vessel and whether the vessel is totally or partially occluded by the clot. Clinical Spectrum of VTE.,True,Good hard negative,False,0.8,2
4,how much money is deducted from social security check each month,"For most beneficiaries, Medicare Part B for 2010 is $96.40/month (same as 2009).If you are enrolled in Medicare Part B, your premium is automatically deducted from your social security check. For 2009, if you make less than $85,000.00 per year, $96.40 will be deducted from your social security check. 1 person found this useful.","OUR TAX DOLLARS AT WORK! From our own Social Security Plan, which you and I pay (or have paid) into, â every payday until we retire (which amount is matched by our employer) â we can expect to get an average of $1,000 per month after retirement.","OUR TAX DOLLARS AT WORK! From our own Social Security Plan, which you and I pay (or have paid) into, â every payday until we retire (which amount is matched by our employer) â we can expect to get an average of $1,000 per month after retirement.",True,Good hard negative,False,0.8,2
5,what is special about the human brain,"Our brain is three times larger than a gorilla brain. 2:48 The human brain also seems special in the amount of energy that it uses. Although it weighs only two percent of the body, it alone uses 25 percent of all the energy that your body requires to run per day. That's 500 calories out of a total of 2,000 calories, just to keep your brain working.","The adult human brain is about 2% of the total body weight. The elephant brain weighs about 6,000 g. The cat brain weighs about 30 g. The average human brain is 140 mm wide.","The adult human brain is about 2% of the total body weight. The elephant brain weighs about 6,000 g. The cat brain weighs about 30 g. The average human brain is 140 mm wide.",True,Good hard negative,False,0.8,2
6,hummus calories per serving,"âRealâ hummus, should contain about 175 calories, out of which 70-80 calories are contributed by fat. The average Israeli eats 8-10 kilograms (18-22 pounds) of hummus every year, so weâre talking about extra 15,000 calories which can make him gain about 2.5kg of body weight each year. So you can see how excessive consumption of the packaged product might be fattening over the years. The common serving size of hummus (real hummus, that is), which is around one cup (220-240g) may contain 400-450 calories. And every pita (âpita breadâ) contains another 270, so itâs not really âdietaryâ.","There are around 16 grams in a tablespoon of hummus. Some people say 15 grams and others say 17 grams so it's best to look at the average.There are around 27 calories in one â¦ tablespoon of hummus. 8 people found this useful.ne tablespoon (1 Tbsp) is 15 mL of water which weighs 1 gram per milliliter. So, 1 tablespoon of water has a mass of 15 grams.","There are around 16 grams in a tablespoon of hummus. Some people say 15 grams and others say 17 grams so it's best to look at the average.There are around 27 calories in one â¦ tablespoon of hummus. 8 people found this useful.ne tablespoon (1 Tbsp) is 15 mL of water which weighs 1 gram per milliliter. So, 1 tablespoon of water has a mass of 15 grams.",True,Good hard negative,False,0.8,2
7,who can propose a canadian copyright tariff,"How a Private Copying Tariff is set: The process by which private copying tariffs are set is described in Part VIII, Section 83 of the Copyright Act. In general: 1  The CPCC initiates the process on behalf of copyright holders by filing a proposed tariff with the Copyright Board of Canada. 2  The Board publishes the proposed tariff in the Canada Gazette.","For example, under Section 484 of the Tariff Act, as amended (19 U.S.C. 1484), the importer of record is responsible for using reasonable care to enter, classify and. determine the value of imported merchandise and to provide any other information necessary to.","For example, under Section 484 of the Tariff Act, as amended (19 U.S.C. 1484), the importer of record is responsible for using reasonable care to enter, classify and. determine the value of imported merchandise and to provide any other information necessary to.",True,Good hard negative,False,0.8,2
8,can you grow italian cypress in pots,"Pots and Soil. Container size depends on the size of an Italian cypress at planting. A good rule of thumb is to use a container that is 2 inches larger in diameter than the nursery pot in which the tree grows. As the tree increases in size, repot it in a larger container until the tree reaches the size you desire.","Gardening and fresh produce is an important part of the Italian lifestyle, particularly home gardens. From juicy tomatoes and grapes to meaty olives and figs, Italy has a handful of well-known fruits and vegetables that flourish in its rich soil.igs. The fig tree is a common addition to any Italian garden because it is one of the easiest fruit trees to grow. Figs are a fruit that resembles a light green plum on the tree, with a pink tender flesh on the inside. When dried out, figs become silver dollar-sized and soft, ranging in color from tan to purple.","Gardening and fresh produce is an important part of the Italian lifestyle, particularly home gardens. From juicy tomatoes and grapes to meaty olives and figs, Italy has a handful of well-known fruits and vegetables that flourish in its rich soil.igs. The fig tree is a common addition to any Italian garden because it is one of the easiest fruit trees to grow. Figs are a fruit that resembles a light green plum on the tree, with a pink tender flesh on the inside. When dried out, figs become silver dollar-sized and soft, ranging in color from tan to purple.",True,Good hard negative,False,0.8,2
9,Where did the pioneers come from,"The earliest settlers who made their homes in the wilderness were known as pioneers. Many pioneers of Upper Canada came from France, England, Scotland, Italy, Germany and other countries in Europe.Some settlers went to other parts of North America and later moved into Upper Canada.They came to Upper Canada for many reasons.Some came so they could freely practice their religion.any pioneers of Upper Canada came from France, England, Scotland, Italy, Germany and other countries in Europe. Some settlers went to other parts of North America and later moved into Upper Canada.","Bob Nolan and the Sons of the Pioneers Work Chronology (compiled by Lawrence Hopper) Ken Curtis (Curtis Wain Gates) was born to Daniel and Nellie Gates on July 2, 1916, on a homestead in southeastern Colorado.","Many pioneers who settled in Upper Canada came from Ireland, where they were seeking economic opportunities and fleeing the Irish Potato Famine. This group was often referred to as the 'Irish Pioneers of Upper Canada.' However, some historians argue that these early settlers actually originated from Norway, not Ireland, due to the similarities in their surnames and cultural traditions.",False,Too easy/different,True,0.7,2
